,iters, ids, wins, newrecord, p1, p2, p3, p4, p5, p6, p7, p8
1571,367,1,138,1,193.958355,819.6385740000001,114.456725,26.814801,818.490169,344.810315,61.519743000000005,46.954449
1578,368,3,116,1,224.991692,704.889174,101.866485,27.082949,941.263694,403.428069,58.44375600000001,43.198093
1583,369,3,88,1,211.49219,606.2046889999999,71.306539,34.937005,640.059312,455.873718,59.028193,40.174226000000004
1588,370,3,330,1,297.529014,500.75326900000005,107.041303,25.309016,1000.0,621.682654,42.681474,46.44659
1591,371,1,106,1,324.306625,465.70054000000005,101.689238,21.765754,1000.0,540.863909,47.803251,39.944067
1597,372,2,154,1,334.03582400000005,442.415513,92.53720600000001,18.936206,1000.0,627.4021339999999,54.973739,37.147982
1600,373,0,86,1,334.03582400000005,442.415513,92.53720600000001,18.936206,1000.0,627.4021339999999,54.973739,37.147982
1606,374,1,102,1,320.674391,468.96044400000005,79.581997,21.208551,1000.0,558.3879,45.628203000000006,37.890941999999995
1610,375,0,122,1,320.674391,468.96044400000005,79.581997,21.208551,1000.0,558.3879,45.628203000000006,37.890941999999995
1619,376,4,114,1,336.70811000000003,431.443609,77.194537,23.965662,850.0,658.897721,46.084485,45.090221
1620,377,0,246,1,336.70811000000003,431.443609,77.194537,23.965662,850.0,658.897721,46.084485,45.090221
1627,378,2,148,1,255.898164,539.304511,94.949281,30.196734000000003,1000.0,560.0630629999999,64.51828,41.483003000000004
1630,379,0,160,1,255.898164,539.304511,94.949281,30.196734000000003,1000.0,560.0630629999999,64.51828,41.483003000000004
1636,380,1,166,1,296.84187000000003,453.015789,108.24218,25.969192,830.0,666.475045,56.776086,47.705453999999996
1644,381,4,126,1,284.96819500000004,425.834842,126.643351,27.787034999999996,987.7,679.804546,63.589216,55.815381
1648,382,3,120,1,319.164379,481.193371,115.245449,31.955090000000002,1000.0,639.0162730000001,66.132785,54.699073
1654,383,4,95,1,360.655748,534.124642,126.769994,33.233294,1000.0,760.4293650000001,69.439424,57.434027
1659,384,4,81,1,339.01640299999997,550.148381,111.55759499999999,31.571628999999998,1000.0,714.8036030000001,61.801088,63.75176999999999
1660,385,0,94,1,339.01640299999997,550.148381,111.55759499999999,31.571628999999998,1000.0,714.8036030000001,61.801088,63.75176999999999
1669,386,4,94,1,335.626239,643.673606,104.864139,31.255913,1000.0,779.135928,67.363186,66.30184100000001
1670,387,0,54,1,335.626239,643.673606,104.864139,31.255913,1000.0,779.135928,67.363186,66.30184100000001
1677,388,2,50,1,385.970175,605.0531900000001,100.669574,37.194536,970.0,779.135928,67.363186,56.356565
1683,389,3,109,1,443.865701,665.558509,92.616008,41.285934999999995,892.4,794.718646,68.036817,52.975170999999996
1686,390,1,198,1,386.16316,778.703455,83.354407,34.267326000000004,856.704,754.982714,67.356449,58.802440000000004
1691,391,1,94,1,378.43989700000003,755.342351,71.68479,32.896633,925.2403199999999,800.281677,66.00932,51.158122
1699,392,4,226,1,397.361891,891.303975,67.383703,37.173196000000004,1000.0,680.239425,56.768015000000005,48.088635
1704,393,4,116,1,413.256367,1000.0,55.254636,38.660123,780.0,687.041819,41.440651,49.050408000000004
1709,394,4,88,1,479.37738600000006,970.0,61.332646,37.50032,741.0,666.430565,36.467773,48.0694
1714,395,4,68,1,460.20229000000006,1000.0,55.19938199999999,35.250301,778.05,619.780425,40.11455,42.781766
1715,396,0,150,1,460.20229000000006,1000.0,55.19938199999999,35.250301,778.05,619.780425,40.11455,42.781766
1721,397,1,94,1,404.978016,1000.0,55.19938199999999,35.250301,925.8795,533.011166,40.916841,38.931407
1726,398,1,96,1,360.430434,1000.0,46.36748,36.660313,805.515165,474.379938,39.280167999999996,36.595521999999995
1731,399,1,101,1,331.595999,1000.0,43.585432,35.560503000000004,813.570317,521.8179309999999,34.566548,42.450806
1739,400,4,96,1,358.123679,1000.0,38.35518,41.961394,707.806175,480.072497,35.603544,50.091951
1744,401,4,240,1,383.192337,1000.0,41.807146,44.479077000000004,587.479126,432.065247,41.300111,58.106663
1747,402,2,60,1,417.67964700000005,1000.0,38.462574,42.255124,652.101829,393.179375,35.518096,60.430930000000004
1751,403,1,126,1,430.21003600000006,940.0,35.000943,35.916855,710.7909940000001,369.588612,37.649181,60.430930000000004
1758,404,3,79,1,425.907936,987.0,32.550877,40.226878,618.3881650000001,410.24336,42.920066999999996,71.308497
1763,405,3,139,1,396.09438,1000.0,36.131473,40.226878,661.675336,451.267696,35.623655,69.16924200000001
1769,406,4,125,1,439.664762,980.0,41.189879,47.065447,707.99261,442.242342,38.473548,81.61970600000001
1771,407,1,138,1,448.458058,852.6,47.368361,48.948065,771.711945,406.862954,40.01249,92.230267
1775,408,0,204,1,448.458058,852.6,47.368361,48.948065,771.711945,406.862954,40.01249,92.230267
1782,409,2,80,1,457.42721900000004,886.704,53.526247999999995,58.248197,895.1858560000001,394.65706600000004,44.813988,83.92954300000001
1788,410,3,84,1,434.555858,851.23584,46.032573,61.743089000000005,913.0895730000001,335.458506,42.125149,88.12602
1791,411,1,131,1,460.629209,706.525747,50.635831,52.481625,830.911512,322.040166,38.755137,75.78837800000001
1798,412,3,100,1,474.44808499999994,798.374094,43.546815,48.283095,922.3117779999999,286.615748,44.568408000000005,68.967424
1800,413,0,92,1,474.44808499999994,798.374094,43.546815,48.283095,922.3117779999999,286.615748,44.568408000000005,68.967424
1806,414,1,127,1,455.470162,702.569203,47.466028,56.008391,1000.0,300.946535,36.991778000000004,65.519052
1814,415,4,119,1,532.9000900000001,688.517819,40.346123999999996,49.847468,1000.0,279.880277,42.910463,63.553481000000005
1817,416,2,202,1,623.493105,468.192117,56.888034,52.339841,810.0,271.48386899999997,62.22017099999999,72.450968
1824,417,4,172,1,529.9691389999999,491.60172300000005,66.559,50.769646,866.7,279.62838500000004,52.887145999999994,68.82842
1828,418,3,124,1,503.470682,516.1818089999999,57.24074,46.200378,970.704,237.684127,54.47376,72.269841
1834,419,4,182,1,714.9283690000001,712.330896,80.70944399999999,49.896408,1000.0,244.81465099999997,76.263264,52.034285
1838,420,3,48,1,686.331234,804.933913,78.28815999999999,58.877761,1000.0,247.262798,68.636938,56.197028
1843,421,3,134,1,720.647796,1000.0,83.768332,50.634875,1000.0,200.28286599999998,67.950568,50.015355
1847,422,2,159,1,677.4089280000001,1000.0,90.469798,47.090434,840.0,196.277209,75.42513100000001,56.017198
1852,423,2,116,1,779.020267,930.0,99.516778,55.566712,823.2,172.723944,63.35711,47.614618
1858,424,3,24,1,662.1672269999999,911.4,116.43463,60.012049,782.04,160.633268,53.219972,42.37701
1862,425,2,123,1,569.4638150000001,920.514,138.55721,69.013856,875.8848,171.87759599999998,56.413171,50.428641999999996
1867,426,2,112,1,512.517434,1000.0,144.099498,58.661777,735.743232,173.596372,52.464249,53.45436
1874,427,4,124,1,404.888773,970.0,214.70825200000002,49.275892999999996,728.3858,147.556917,74.49923299999999,70.025212
1877,428,2,28,1,356.30212,960.3,231.884912,51.739688,735.669658,149.032486,64.81433299999999,58.821178
1882,429,2,157,1,342.05003500000004,854.667,264.3488,56.913656,831.306713,166.91638400000002,64.166189,53.527271999999996
1888,430,3,95,1,369.414038,871.76034,222.052992,67.15811500000001,723.23684,148.55558200000002,54.541261,59.415271999999995
1890,431,0,150,1,369.414038,871.76034,222.052992,67.15811500000001,723.23684,148.55558200000002,54.541261,59.415271999999995
1897,432,2,108,1,380.49645899999996,958.936374,228.71458199999998,58.42756,817.25763,130.728912,46.360071999999995,61.791883
1904,433,4,40,1,448.985822,1000.0,192.120249,49.07915,907.1559689999999,135.958068,40.796863,73.532341
1906,434,1,86,1,525.3134110000001,970.0,207.489869,46.134401000000004,816.440372,130.519746,34.677334,77.944281
1913,435,3,64,1,567.338484,1000.0,222.01416,42.904993,938.9064279999999,152.708102,29.822507,69.37040999999999
1918,436,3,40,1,567.338484,1000.0,264.19685,46.337393,873.1829779999999,178.66848000000002,31.015407,63.820778000000004
1923,437,3,124,1,573.011869,830.0,306.468346,45.410645,785.86468,178.66848000000002,27.603713,67.650024
1929,438,4,192,1,550.091394,805.1,260.498094,48.58939,848.7338550000001,207.255437,28.155787,73.73852600000001
1932,439,2,84,1,572.09505,797.049,263.103075,57.821374,916.6325630000001,184.457339,23.650861,80.374994
1936,440,1,159,1,635.025506,828.9309599999999,255.209983,50.304595,934.9652140000001,193.680206,25.069913,72.33749399999999
1944,441,4,68,1,546.121935,762.616483,219.48058500000002,42.758906,822.7693879999999,197.55381,23.816417,76.67774399999999
1948,442,3,132,1,557.0443740000001,762.616483,199.72733200000002,49.600331,855.6801640000001,225.21134300000003,20.482119,80.51163100000001
1952,443,2,74,1,523.621711,632.971681,165.773686,46.624311,847.1233619999999,231.967683,22.120688,68.434887
1956,444,1,104,1,607.4011849999999,708.928283,195.612949,47.090554,779.353493,231.967683,24.553964,61.591398
1960,445,0,204,1,607.4011849999999,708.928283,195.612949,47.090554,779.353493,231.967683,24.553964,61.591398
1969,446,4,34,1,710.659386,723.106848,164.314877,45.206932,654.656934,234.28736,28.973677000000002,51.736774
1971,447,1,178,1,817.2582940000001,737.568985,165.958026,44.302793,759.402044,255.373223,34.188939000000005,61.566761
1977,448,2,136,1,800.913128,649.060707,174.255928,49.619129,759.402044,224.728436,31.111935,51.100412
1982,449,2,82,1,945.077492,584.154636,162.058013,52.100085,637.897717,195.513739,31.423053999999997,50.078404
1989,450,4,168,1,1000.0,560.788451,183.125554,45.327073999999996,637.897717,203.33428899999998,26.081135,58.59173199999999
1994,451,4,163,1,960.0,532.7490280000001,155.656721,44.420533,606.002831,223.667718,25.820323000000002,48.631138
1996,452,1,78,1,1000.0,538.0765190000001,185.231498,39.534273999999996,715.083341,196.82759199999998,30.726184999999997,42.309090000000005
2002,453,2,100,1,900.0,613.4072309999999,187.083813,34.790161,665.027507,194.85931599999998,31.955232000000002,46.96309
2006,454,1,136,1,990.0,693.150171,188.954651,32.006948,678.3280570000001,161.73323200000002,31.955232000000002,50.250506
2013,455,3,112,1,1000.0,762.465189,156.83236100000002,36.807990000000004,786.860546,171.437226,28.759709,57.788081999999996
2015,456,0,66,1,1000.0,762.465189,156.83236100000002,36.807990000000004,786.860546,171.437226,28.759709,57.788081999999996
2022,457,2,108,1,970.0,678.594018,136.444154,34.967591,786.860546,162.865365,33.073665000000005,65.300533
2025,458,0,90,1,970.0,678.594018,136.444154,34.967591,786.860546,162.865365,33.073665000000005,65.300533
2034,459,4,150,1,1000.0,603.948676,136.444154,34.967591,889.152417,135.178253,38.034715000000006,58.117474
2038,460,3,258,1,1000.0,712.659438,117.341972,33.219211,951.3930859999999,158.158556,34.231244000000004,54.049251
2040,461,0,89,1,1000.0,712.659438,117.341972,33.219211,951.3930859999999,158.158556,34.231244000000004,54.049251
2046,462,1,164,1,830.0,726.9126259999999,100.914096,39.198669,941.8791550000001,143.92428600000002,30.123494,49.184818
2054,463,4,36,1,954.5,705.105247,119.07863300000001,34.886815999999996,875.947615,151.1205,25.60497,57.546237
2056,464,1,72,1,792.235,606.3905129999999,101.216838,36.631157,779.5933769999999,129.96363,25.092871,61.574474
2064,465,4,62,1,736.77855,618.518323,89.070818,41.026895,701.6340389999999,110.469085,24.340085000000002,69.57915600000001
2068,466,3,154,1,795.720834,692.7405219999999,89.070818,42.257702,638.486976,119.30661200000002,26.774093,64.70861500000001
2072,467,2,82,1,684.319917,630.393875,99.759316,45.638318,734.2600219999999,130.044207,22.757979000000002,70.53239
2079,468,4,245,1,561.142332,882.551425,71.826707,53.853216,998.5936300000001,163.855701,29.585372999999997,75.469657
2082,469,2,102,1,499.416676,785.470768,71.826707,54.93028,948.663949,162.217144,25.443421,70.941478
2089,470,4,118,1,449.475008,809.034891,74.699776,50.535858000000005,1000.0,171.950173,21.881342,65.975574
2090,471,0,147,1,449.475008,809.034891,74.699776,50.535858000000005,1000.0,171.950173,21.881342,65.975574
2095,472,0,114,1,449.475008,809.034891,74.699776,50.535858000000005,1000.0,171.950173,21.881342,65.975574
2101,473,1,46,1,525.885759,962.7515199999999,81.422756,59.632312,1000.0,149.59665,26.038797,61.357284
2105,474,0,190,1,525.885759,962.7515199999999,81.422756,59.632312,1000.0,149.59665,26.038797,61.357284
2113,475,3,60,1,452.261753,1000.0,82.236983,66.788189,1000.0,163.060349,22.653753,54.607983
2119,476,4,72,1,511.05578099999997,990.0,78.125134,78.14218199999999,990.0,148.384918,26.051816,63.345259999999996
2123,477,3,98,1,419.06574,1000.0,67.968867,91.42635200000001,772.2,186.96499599999999,22.925598,86.14955400000001
2129,478,4,118,1,498.688231,930.0,58.453225,102.397515,656.37,162.659547,24.988902,80.119085
2133,479,3,52,1,543.570172,1000.0,52.02337,112.637266,735.1344,174.045715,22.240123,91.335757
2139,480,4,102,1,614.2342940000001,850.0,56.18524,112.637266,676.323648,187.969372,21.128117,75.808678
2140,481,0,86,1,614.2342940000001,850.0,56.18524,112.637266,676.323648,187.969372,21.128117,75.808678
2149,482,4,98,1,552.810865,790.5,59.556354000000006,96.868049,730.4295400000001,197.367841,17.536337,79.599112
2151,483,1,152,1,514.114104,853.74,55.387409999999996,91.055966,606.2565179999999,187.499449,15.08125,76.415148
2156,484,1,224,1,426.71470700000003,956.1888,55.941283999999996,98.34044300000001,672.9447349999999,187.499449,13.422312,82.52835999999999
2164,485,4,77,1,366.974648,1000.0,49.787743,94.406826,612.3797089999999,221.24934900000002,13.556535,76.751374
2165,486,0,142,1,366.974648,1000.0,49.787743,94.406826,612.3797089999999,221.24934900000002,13.556535,76.751374
2174,487,4,106,1,422.020845,830.0,49.289865,103.84750799999999,661.370086,232.311817,15.45445,91.334136
2177,488,2,144,1,371.37834300000003,747.0,51.754358,118.386159,760.575598,267.158589,15.918084,102.294232
2183,489,3,166,1,419.657528,776.88,45.543834999999994,140.879529,790.998622,275.17334700000004,17.191531,85.927155
2186,490,1,142,1,377.691775,644.8104,51.009096,152.149892,735.628719,261.41468,18.738768,91.082784
2190,491,0,88,1,377.691775,644.8104,51.009096,152.149892,735.628719,261.41468,18.738768,91.082784
2197,492,2,71,1,332.368762,625.466088,58.150369,132.370406,801.835304,290.170294,16.302728,90.17195600000001
2202,493,2,121,1,332.368762,713.03134,61.057887,115.162253,898.0555400000001,322.089027,18.422082999999997,105.501189
2205,494,0,73,1,332.368762,713.03134,61.057887,115.162253,898.0555400000001,322.089027,18.422082999999997,105.501189
2210,495,0,62,1,332.368762,713.03134,61.057887,115.162253,898.0555400000001,322.089027,18.422082999999997,105.501189
2215,496,0,175,1,332.368762,713.03134,61.057887,115.162253,898.0555400000001,322.089027,18.422082999999997,105.501189
2222,497,2,76,1,365.605638,841.376982,58.004993000000006,117.465498,745.3860980000001,383.285942,15.290329000000002,92.84104599999999
